Name, birth, death, age
Trayvon Martin, Feb 5 1995, Feb 26 2012, 17
Eric Garner, Sep 15 1970, Jul 17 2014, 44
Michael Brown, May 20 1996, Aug 9 2014, 18
Tamir Rice, Jun 25 2002, Nov 23 2014, 12
Alton Sterling, Jun 14 1979, Jul 5 2016, 37
Philando Castile, Jul 16 1983, Jul 6 2016, 32
Breonna Taylor, Jun 5 1993, Mar 13 2020, 26
George Floyd, Oct 14 1973, May 25 2020, 46
Jermaine Carby, Dec 4 1980, Sep 24 2014, 33
Regis Korchinski Paquet, Oct 4 1990, May 27 2020, 29
D'Andre Campbell, Jan 1 1993, Apr 6 2020, 26
Sumaya Dalmar, Jan 1 1989, Feb 22 2015, 26
